,ret
2000-02-01,0.03280409181452981
2000-02-02,0.008367336121636315
2000-02-03,0.049208030393542934
2000-02-04,0.002662637936997614
2000-02-07,0.011765835457179019
2000-02-08,0.05213007594412833
2000-02-09,-0.053004070623230315
2000-02-10,0.03381005351266486
2000-02-11,-0.0402323299690035
2000-02-14,0.0032595314766290517
2000-02-15,0.01622924725365027
2000-02-16,-0.016956860916066185
2000-02-17,0.017034406675067837
2000-02-18,-0.05442748822307253
2000-02-22,0.0009821613569607202
2000-02-23,0.06588104322611055
2000-02-24,0.007411168489177333
2000-02-25,-0.025211207965441962
2000-02-28,-0.000683840668080693
2000-02-29,0.028397236651243274
2000-03-01,0.013714492948000645
2000-03-02,-0.020491765115379645
2000-03-03,0.06654874538467603
2000-03-06,-0.0017181702473749727
2000-03-07,-0.03126313979745876
2000-03-08,0.007151817927456117
2000-03-09,0.05678587830252746
2000-03-10,-0.008957767884021584
2000-03-13,-0.034583180139408976
2000-03-14,-0.04718254397199506
2000-03-15,-0.017457993288003792
2000-03-16,0.09241519883704608
2000-03-17,0.02241643019528361
2000-03-20,-0.029707917675475315
2000-03-21,0.051576919937882604
2000-03-22,0.023067766423634062
2000-03-23,0.03133140413705027
2000-03-24,0.017322693931034472
2000-03-27,-0.00869806394437056
2000-03-28,-0.028633227400943206
2000-03-29,-0.035891683235176663
2000-03-30,-0.03761775351969743
2000-03-31,0.028344395434646064
2000-04-03,-0.04891431269266955
2000-04-04,-0.01541712051247568
2000-04-05,-0.02092940774733454
2000-04-06,0.027546437983412497
2000-04-07,0.03932295150600451
2000-04-10,-0.05657651486614079
2000-04-11,-0.022132294785280338
2000-04-12,-0.07357849752761525
2000-04-13,-0.04672666290115457
2000-04-14,-0.12125855153961795
2000-04-17,0.07738058498674616
2000-04-18,0.020361883510191747
2000-04-19,-0.02415816352383815
2000-04-20,-0.016495313011693047
2000-04-24,-0.021160386353121563
2000-04-25,0.04812954787591517
2000-04-26,-0.02634198874464122
2000-04-27,0.03276686227708159
2000-04-28,0.02986108695516987
2000-05-01,0.020309976896838
2000-05-02,-0.06996715751077498
2000-05-03,-0.03158163373578471
2000-05-04,0.008546818181101923
2000-05-05,0.03143092335504294
2000-05-08,-0.04108122947097004
2000-05-09,-0.02565209471653751
2000-05-10,-0.08152116777337504
2000-05-11,0.06921684200687128
2000-05-12,0.010277665215928877
2000-05-15,0.05134761722203263
2000-05-16,0.03236696648495774
2000-05-17,-0.027503267914949614
2000-05-18,-0.0416566984769603
2000-05-19,-0.053511802646827866
2000-05-22,-0.008290142725305594
2000-05-23,-0.07924223534146624
2000-05-24,0.016963419124159218
2000-05-25,-0.018181983138095825
2000-05-26,0.0002242063492063906
2000-05-30,0.00022222222222212373
2000-05-31,0.00021746031746028294
2000-06-01,0.01576099707152423
2000-06-02,0.015973043586448243
2000-06-05,-0.004540031834474045
2000-06-06,-0.004141456517205988
2000-06-07,0.0064069273194291565
2000-06-08,-0.0036475770933388496
2000-06-09,-0.001969996630356352
2000-06-12,-0.010831576813878807
2000-06-13,0.017116115085785255
2000-06-14,0.0015742361686961193
2000-06-15,0.001967936577298879
2000-06-16,-0.007669695062047399
2000-06-19,0.011828695247853682
2000-06-20,-0.0033555157051168294
2000-06-21,-0.0003961488636139432
2000-06-22,-0.014191254575781742
2000-06-23,-0.007868629838533314
2000-06-26,0.011700520082742916
2000-06-27,-0.00678503943209241
2000-06-28,0.002558820257554384
2000-06-29,-0.008644910203382983
2000-06-30,0.006875648254853539
2000-07-03,0.029633445555245386
2000-07-05,-0.05155738987528191
2000-07-06,0.030379234569952507
2000-07-07,0.03283077573057569
2000-07-10,-0.015509476734648087
2000-07-11,0.006584983648300957
2000-07-12,0.026993958234937443
2000-07-13,0.015488195935180471
2000-07-14,0.028447282481362413
2000-07-17,0.00880928810151227
2000-07-18,-0.02835931320233176
2000-07-19,-0.028437664205693824
2000-07-20,0.041657934893532644
2000-07-21,-0.04890984042530411
2000-07-24,-0.0242630464889676
2000-07-25,0.009778860782744925
2000-07-26,-0.01015078858477736
2000-07-27,-0.03916603762897275
2000-07-28,-0.06868098747844342
2000-07-31,0.030540615923889902
2000-08-01,0.005515411620441224
2000-08-02,0.004531529451055949
2000-08-03,0.006301851339834519
2000-08-04,0.004924085811212953
2000-08-07,0.011026477081398589
2000-08-08,0.0035443665821848214
2000-08-09,-0.007878951166632064
2000-08-10,-0.00452524272458632
2000-08-11,0.004328745982396187
2000-08-14,0.011800430588742916
2000-08-15,-0.0007894368270043861
2000-08-16,-0.003345022794646435
2000-08-17,0.009828787554801766
2000-08-18,-0.003149779112378237
2000-08-21,0.005107465291362079
2000-08-22,-0.0015761812403219944
2000-08-23,0.003729765031101895
2000-08-24,0.0029423538859498777
2000-08-25,-0.0003970949849665395
2000-08-28,0.00323552723351872
2000-08-29,0.0001908633470881771
2000-08-30,-0.009133938588372414
2000-08-31,0.01255053501296799
2000-09-01,0.009552527282166823
2000-09-05,-0.03503616142418098
2000-09-06,-0.041667456807285674
2000-09-07,0.02671079643011187
2000-09-08,-0.03316075362989068
2000-09-11,-0.022162074449284197
2000-09-12,-0.019954249547788794
2000-09-13,0.021237599838913823
2000-09-14,8.70944389985695e-05
2000-09-15,-0.03606168262864817
2000-09-18,-0.021899825793710193
2000-09-19,0.038469720926143314
2000-09-20,0.0059140305766147705
2000-09-21,-0.07684107400067663
2000-09-22,0.017391628050733132
2000-09-25,-0.0069296969773452455
2000-09-26,-0.01237335461059097
2000-09-27,0.0050191170796438644
2000-09-28,0.0123457446178461
2000-09-29,-0.0092233671512989
2000-10-02,0.00023928571428566414
2000-10-03,0.00024047619047617985
2000-10-04,0.00024047619047617985
2000-10-05,0.00024087301587272236
2000-10-06,0.00024047619047617985
2000-10-09,0.00024047619047617985
2000-10-10,0.0002400793650794153
2000-10-11,0.0002400793650794153
2000-10-12,0.00023849206349213503
2000-10-13,0.0002388888888888996
2000-10-16,0.00024047619047617985
2000-10-17,0.00024285714285698923
2000-10-18,0.00024285714285743332
2000-10-19,0.00024365079365074038
2000-10-20,0.00024325396825375378
2000-10-23,0.0002444444444447136
2000-10-24,0.0002448412698412561
2000-10-25,0.0002460317460317718
2000-10-26,0.00024523809523802065
2000-10-27,0.00024484126984147814
2000-10-30,0.00024563492063500725
2000-10-31,0.00024563492063500725
2000-11-01,0.00024523809523802065
2000-11-02,0.00024563492063500725
2000-11-03,0.0002460317460317718
2000-11-06,0.00024761904761883
2000-11-07,0.0002472222222222875
2000-11-08,0.0002468253968253009
2000-11-09,0.00024642857142853636
2000-11-10,0.00024563492063500725
2000-11-13,0.00024563492063500725
2000-11-14,0.00024523809523802065
2000-11-15,0.00024563492063500725
2000-11-16,0.00024484126984147814
2000-11-17,0.00024484126984103405
2000-11-20,0.00024523809523802065
2000-11-21,0.00024523809523802065
2000-11-22,0.00024523809523802065
2000-11-24,0.00024523809523802065
2000-11-27,0.00024365079365074038
2000-11-28,0.00024206349206346012
2000-11-29,0.0002404761904764019
2000-11-30,0.00023928571428566414
2000-12-01,0.0002400793650794153
2000-12-04,0.0002380952380949264
2000-12-05,0.00023452380952382335
2000-12-06,0.00023492063492036586
2000-12-07,0.00023571428571433906
2000-12-08,0.0002349206349205879
2000-12-11,0.00023452380952382335
2000-12-12,0.0002337301587300722
2000-12-13,0.0002337301587300722
