,ret
2000-02-01,0.024356323154795634
2000-02-02,0.006304291922676564
2000-02-03,0.036880857244952825
2000-02-04,0.002069332095136156
2000-02-07,0.008967872186710357
2000-02-08,0.03966247891629915
2000-02-09,-0.04070658068372801
2000-02-10,0.025717188744908803
2000-02-11,-0.03072941833210807
2000-02-14,0.002521947038529815
2000-02-15,0.012357399649833178
2000-02-16,-0.012851907400480478
2000-02-17,0.01296325963384537
2000-02-18,-0.04136139544792683
2000-02-22,0.0007925849752981051
2000-02-23,0.04951135451143829
2000-02-24,0.0057032733592909945
2000-02-25,-0.021333684660459484
2000-02-28,0.011152761908015174
2000-02-29,0.02683060702009099
2000-03-01,0.010216496833909794
2000-03-02,-0.015174601488836092
2000-03-03,0.049257231627834575
2000-03-06,-0.0012353441058996495
2000-03-07,-0.02342613712169972
2000-03-08,0.0053860672924297415
2000-03-09,0.042441569260126544
2000-03-10,-0.006722980766204034
2000-03-13,-0.026053451604018285
2000-03-14,-0.03525202441896402
2000-03-15,-0.012844210423637925
2000-03-16,0.06804419745017665
2000-03-17,0.016922923110491928
2000-03-20,-0.022418327550214
2000-03-21,0.03878331867566054
2000-03-22,0.01758841132584399
2000-03-23,0.023996796460334258
2000-03-24,0.013385131634780167
2000-03-27,-0.006669272160399586
2000-03-28,-0.0220264673255528
2000-03-29,-0.027435060025936098
2000-03-30,-0.028505169080783932
2000-03-31,0.021373736163324386
2000-04-03,-0.03617428512214216
2000-04-04,-0.011208600040083061
2000-04-05,-0.015171666392135852
2000-04-06,0.019994880339202936
2000-04-07,0.028725714212633813
2000-04-10,-0.04160611959555427
2000-04-11,-0.01598282474019208
2000-04-12,-0.052944165850214
2000-04-13,-0.0328629606535481
2000-04-14,-0.08415977629471638
2000-04-17,0.07573965133430915
2000-04-18,0.03174640633515824
2000-04-19,-0.022595245623514892
2000-04-20,-0.007569060283865836
2000-04-24,-0.021731395322432845
2000-04-25,0.0612167288908978
2000-04-26,-0.025380478711082843
2000-04-27,0.018599049793791123
2000-04-28,0.014975397071338659
2000-05-01,0.015102760664324366
2000-05-02,-0.05203509659990324
2000-05-03,-0.023007614929330344
2000-05-04,0.006251037065861276
2000-05-05,0.022872383277777963
2000-05-08,-0.02999953333226346
2000-05-09,-0.01849156641584848
2000-05-10,-0.05847632982946538
2000-05-11,0.04856104892112301
2000-05-12,0.007409465873073007
2000-05-15,0.03685174716345241
2000-05-16,0.023576889666023115
2000-05-17,-0.02008769964727153
2000-05-18,-0.030226269946607265
2000-05-19,-0.0383859931128141
2000-05-22,-0.005796670864552933
2000-05-23,-0.05583340346991594
2000-05-24,0.04173971808751897
2000-05-25,-0.023690785338138953
2000-05-26,0.0007271098941463716
2000-05-30,0.07388025576826562
2000-05-31,-0.014720443178571907
2000-06-01,0.011732117172322587
2000-06-02,0.011936975372652814
2000-06-05,-0.0033323401260134666
2000-06-06,-0.0030297799576735063
2000-06-07,0.004830853346803554
2000-06-08,-0.002663580981538294
2000-06-09,-0.0014102381805608522
2000-06-12,-0.0080112270333218
2000-06-13,0.012772516243093834
2000-06-14,0.0012314330599352274
2000-06-15,0.001525680604946178
2000-06-16,-0.00566918257130733
2000-06-19,0.00887044275401827
2000-06-20,-0.0024510144552232216
2000-06-21,-0.00023894638777699484
2000-06-22,-0.010536379521630002
2000-06-23,-0.005794175459823858
2000-06-26,0.00874164174905867
2000-06-27,-0.004992875398650676
2000-06-28,0.0019588304404640766
2000-06-29,-0.006369210530432712
2000-06-30,0.005158493463213398
2000-07-03,0.022009856789893867
2000-07-05,-0.038416938466544925
2000-07-06,0.022422457643275218
2000-07-07,0.024413898352177776
2000-07-10,-0.011540376873957037
2000-07-11,0.004965108641366456
2000-07-12,0.020200244920297372
2000-07-13,0.011691792843291138
2000-07-14,0.021504213915078285
2000-07-17,0.006743435617160731
2000-07-18,-0.02151205518906718
2000-07-19,-0.021418836797610474
2000-07-20,0.0312954338443161
2000-07-21,-0.03698468031974855
2000-07-24,-0.018088315259406906
2000-07-25,0.007329664916444711
2000-07-26,-0.0075024261185048235
2000-07-27,-0.0290422799620077
2000-07-28,-0.050440740151346475
2000-07-31,0.022093088900240643
2000-08-01,0.004147938648886518
2000-08-02,0.0034234652788254216
2000-08-03,0.004741360901723057
2000-08-04,0.0037236775588016524
2000-08-07,0.008271855005749673
2000-08-08,0.0027075126795850224
2000-08-09,-0.005826818287891555
2000-08-10,-0.0033133449413512706
2000-08-11,0.0032860058602930398
2000-08-14,0.008859808021127291
2000-08-15,-0.0005292583422431552
2000-08-16,-0.0024396429562584254
2000-08-17,0.007402227713890763
2000-08-18,-0.0022974845546549494
2000-08-21,0.0038815432792982385
2000-08-22,-0.0011197414239129122
2000-08-23,0.0028531422252826566
2000-08-24,0.0022654337091523313
2000-08-25,-0.0002368700689550085
2000-08-28,0.002486555345635022
2000-08-29,0.0002039492187695391
2000-08-30,-0.0067915583901838605
2000-08-31,0.009454586746381999
2000-09-01,0.007138600455926181
2000-09-05,-0.025952895156469924
2000-09-06,-0.030586978256759156
2000-09-07,0.01948883923811806
2000-09-08,-0.024221382854412776
2000-09-11,-0.016016600979386286
2000-09-12,-0.014323376486670036
2000-09-13,0.01529331621625274
2000-09-14,0.000128865648407972
2000-09-15,-0.02593955180738916
2000-09-18,-0.015560943816131823
2000-09-19,0.027346245518471646
2000-09-20,0.004305987169969994
2000-09-21,-0.055095586183111944
2000-09-22,0.04527495153309391
2000-09-25,-0.020740279126330585
2000-09-26,-0.015250264534193425
2000-09-27,0.0042135843240027615
2000-09-28,0.021324515788758713
2000-09-29,-0.024464677157251646
2000-10-02,0.00023928571428566414
2000-10-03,0.00024047619047617985
2000-10-04,0.0002404761904759578
2000-10-05,0.0002408730158729444
2000-10-06,0.00024047619047617985
2000-10-09,0.00024047619047617985
2000-10-10,0.0002400793650794153
2000-10-11,0.0002400793650794153
2000-10-12,0.00023849206349213503
2000-10-13,0.0002388888888888996
2000-10-16,0.00024047619047617985
2000-10-17,0.00024285714285721127
2000-10-18,0.00024285714285721127
2000-10-19,0.00024365079365096243
2000-10-20,0.00024325396825375378
2000-10-23,0.00024444444444449154
2000-10-24,0.0002448412698412561
2000-10-25,0.00024603174603199385
2000-10-26,0.0002452380952377986
2000-10-27,0.0002448412698412561
2000-10-30,0.00024563492063500725
2000-10-31,0.00024563492063500725
2000-11-01,0.00024523809523802065
2000-11-02,0.00024563492063500725
2000-11-03,0.0002460317460317718
2000-11-06,0.00024761904761905207
2000-11-07,0.00024722222222250956
2000-11-08,0.0002468253968253009
2000-11-09,0.00024642857142853636
2000-11-10,0.0002456349206347852
2000-11-13,0.0002456349206352293
2000-11-14,0.00024523809523802065
2000-11-15,0.00024563492063500725
2000-11-16,0.0002448412698412561
