horizon,start_month,start_trade_date,end_trade_date,n_days,n_months,years,blend_5050_CAGR,blend_5050_Calmar,blend_5050_DCA,blend_5050_MaxDD,blend_5050_Sharpe,blend_5050_Sortino,blend_5050_Terminal_$1,blend_5050_Vol,cagr_vs_qqq,ivv_bh_CAGR,ivv_bh_Calmar,ivv_bh_DCA,ivv_bh_MaxDD,ivv_bh_Sharpe,ivv_bh_Sortino,ivv_bh_Terminal_$1,ivv_bh_Vol,maxdd_vs_qqq,qqq_bh_CAGR,qqq_bh_Calmar,qqq_bh_DCA,qqq_bh_MaxDD,qqq_bh_Sharpe,qqq_bh_Sortino,qqq_bh_Terminal_$1,qqq_bh_Vol,sharpe_vs_qqq,sixty_forty_CAGR,sixty_forty_Calmar,sixty_forty_DCA,sixty_forty_MaxDD,sixty_forty_Sharpe,sixty_forty_Sortino,sixty_forty_Terminal_$1,sixty_forty_Vol,term_vs_qqq,v19d_CAGR,v19d_Calmar,v19d_DCA,v19d_MaxDD,v19d_Sharpe,v19d_Sortino,v19d_Terminal_$1,v19d_Vol
to_end,2000-01,2000-01-03,,6676,319,26.54,0.08549056847379721,0.1550091147644764,2004611.624513312,-0.688650555769097,0.4800461516055671,0.6288924363173265,8.786333702325784,0.22236843827370548,0.05670511516940935,0.08021517831085045,0.17391726222150072,1441359.294494282,-0.5518943319267764,0.4948600287895351,0.6303375161103741,7.722471994826704,0.19396181881784452,0.4223135670299095,0.08511792939807616,0.14164024414173298,2713138.0117649958,-0.8296390304284453,0.4386998313445096,0.5749866080269059,8.706775183043723,0.26786031455552395,0.30107671836217753,0.06927355102696975,0.2454932135892213,890213.476401672,-0.2992276996205309,0.6455101884766806,0.8667642166154232,5.8968894370111995,0.11379893127342648,24.86011961141387,0.1418230445674855,0.3795511782171915,4704694.074000971,-0.4073254633985358,0.7397765497066872,0.8402399271046389,33.566894794457596,0.20898318500643906
to_end,2000-02,2000-02-01,,6656,318,26.46,0.08709976064732317,0.15667176506338942,1983509.349641255,-0.6886505557690973,0.4885839739408532,0.6396838001680321,9.077635223464755,0.22082610940752986,0.058443425748216926,0.08255677489660251,0.17763759315718824,1438309.1276719049,-0.5518943319267756,0.5069845314957165,0.6448992483518226,8.12709770942579,0.19337312030277412,0.4223135670299097,0.086150602728289,0.14192559781943112,2677153.837554504,-0.8296390304284456,0.4441050665635801,0.5821386141295721,8.870600110990184,0.2651332403816049,0.3114927840371791,0.07061847628077222,0.24955598498844253,886868.4333990277,-0.29922769962053036,0.6583269140673536,0.8830393077904033,6.063638352711048,0.11343006296562767,26.540852450747217,0.14459402847650593,0.38469828109575543,4649404.055153656,-0.40732546339853587,0.7555978506007592,0.8566497729674643,35.4114525617374,0.20738201609674
to_end,2000-03,2000-03-01,,6636,317,26.38,0.08405358769491689,0.15253093435074908,1967338.920020188,-0.688650555769097,0.47610761640188604,0.6230305557362815,8.375352832244232,0.2206234664054555,0.06398058883754953,0.08344670967836376,0.17911293903631795,1417220.005469954,-0.5518943319267762,0.5112985025190941,0.6500910232004183,8.252754927245858,0.19333406090935798,0.42231356702990946,0.07925968702078023,0.13406988523540686,2668006.387627473,-0.8296390304284454,0.42044034896557325,0.5502236055798531,7.4527546760948455,0.2645550311001756,0.32995005298586166,0.07112496163135695,0.2511247982446018,875331.1136613815,-0.29922769962053075,0.6626510812364054,0.8885445150324319,6.10647186910412,0.11339828429193213,26.5062215973517,0.14324027585832977,0.3816940835963476,4597285.937249621,-0.407325463398536,0.7503904019514349,0.850210871891163,33.958976273446545,0.20719044256568736
to_end,2000-04,2000-04-03,,6613,316,26.29,0.08186527107093178,0.15334783922125728,1976879.8275632514,-0.671139859411577,0.46748201354629504,0.6099513539658395,7.88451080183969,0.2201535979433607,0.06350595984166363,0.07993533036940526,0.1731375423321308,1417704.405264654,-0.5518943319267758,0.49493107474800047,0.6277108459985273,7.523602843775536,0.19306451571158137,0.4341401137039939,0.0785002139449309,0.13583812105952298,2686672.643276305,-0.8118638964896147,0.41832748004235565,0.5465610493692952,7.2655869782967395,0.2636261577748759,0.3268471383501056,0.06900326478024255,0.24443145934837412,873583.0372779605,-0.2992276996205311,0.6459866185508362,0.8639768860338508,5.76062475342433,0.11322318635606152,25.343540032643894,0.14200617378659453,0.4087492796949606,4710004.277230145,-0.37772378278562074,0.7451746183924612,0.8426417444363901,32.60912701094063,0.20719214037422215
to_end,2000-05,2000-05-01,,6594,315,26.21,0.08571668925002185,0.15864190220839752,1984067.6897114138,-0.668911911120714,0.48559077722504634,0.6337981340988119,8.601656759189652,0.2185326883604806,0.06563927605482878,0.08165154209604242,0.17581465065782745,1414861.860550482,-0.5518943319267754,0.5040711853023849,0.6394835249168003,7.797456262125058,0.1924948538955535,0.5203647684083015,0.08471623430825681,0.14319373882278588,2705454.6047741002,-0.80453103438358,0.4423234136632484,0.5788945598052739,8.396642527517399,0.26045152314739456,0.34519186957377107,0.06997349298641908,0.2473283247535701,870320.226459607,-0.29922769962053075,0.6557108976204788,0.8777582024293161,5.8694038459946505,0.11286602973288605,30.666995382860307,0.1503555103630856,0.567092814757712,4835420.967984755,-0.28416626597527844,0.7875152832370195,0.8938111514831041,39.06363791037771,0.2046292320432443
to_end,2000-06,2000-06-01,,6572,314,26.12,0.0889585658638794,0.16267087428074947,1964604.843035509,-0.6689119111207139,0.5009593942743688,0.6534649496864471,9.23065780107523,0.2172081942019005,0.06798483639244224,0.08259343890382764,0.17731675377304876,1406105.3518135902,-0.5518943319267752,0.5089534463790717,0.6446400342887043,7.922012198759138,0.1922771366599892,0.553145920678763,0.09047108098776713,0.14886294538828806,2676572.187918666,-0.8045310343835802,0.4648832001936368,0.6100087059947431,9.570909730710694,0.2576235479895604,0.3648000771638015,0.0704964328269726,0.2489081045080487,864466.1583974734,-0.2992276996205304,0.6607332273996369,0.8830825470293777,5.90967869712996,0.11272355686117401,36.767072812613634,0.15845591738020937,0.6668453367515449,4786749.577816087,-0.25138511370481725,0.8296832773574383,0.9483305925501374,46.33798254332433,0.20204696825605048
to_end,2000-07,2000-07-03,,6550,313,26.04,0.08636467843112516,0.1589891008073217,1963907.2911989493,-0.6689119111207125,0.49043753234612053,0.6383847331865015,8.611544171782413,0.21684658341632407,0.07238686314427789,0.08207033149684473,0.17647925778971046,1403269.638849357,-0.5518943319267762,0.5062604489301541,0.6405728129618984,7.769102665532552,0.19238694684249966,0.5531459206787632,0.08589153134164085,0.14331517310371394,2678608.8768431786,-0.80453103438358,0.44931108975089207,0.5880000589553865,8.5145868714757,0.2566184256077865,0.3790910934334175,0.07016753284035282,0.24790293591346602,861285.007400269,-0.29922769962053064,0.6577242939680209,0.8781995172805419,5.827902841218376,0.11278194514458505,37.05030984383258,0.15827839448591874,0.6663729337704621,4783835.759620477,-0.2513851137048168,0.8284021831843096,0.9458740063877245,45.56489671530828,0.20221607224860444
to_end,2000-08,2000-08-01,,6530,312,25.96,0.08785922353061659,0.16096121051880874,1940650.9197460115,-0.6689119111207137,0.49710373606870767,0.6469931353652668,8.865378890052993,0.21659235916416109,0.07213378351942823,0.08299302155255295,0.17804193294024495,1387578.3045301633,-0.5518943319267762,0.510605721752443,0.645794578759992,7.893038803705881,0.1924387633138352,0.5531459206787632,0.08800111702923785,0.14552255071623724,2649979.5515703186,-0.8045310343835801,0.45736121531956064,0.598989321807992,8.895391620739826,0.25598455735270154,0.37988113882685215,0.07069198898680784,0.24954955389179098,852303.2525983938,-0.29922769962053103,0.6619535479158282,0.8835507022943613,5.870682888439762,0.11280570847830158,38.049581737668774,0.16013490054866608,0.6725099653049773,4727515.6765572475,-0.2513851137048168,0.8372423541464128,0.9552789739819588,46.9449733584086,0.2019236046272092
to_end,2000-09,2000-09-01,,6507,311,25.87,0.08414264703465646,0.15588515461669913,1951799.1276572566,-0.6689119111207141,0.4811411237734151,0.6259949574392537,8.05344526005789,0.21672110642346581,0.07670763682907289,0.08064608705636278,0.1741931421873434,1391423.4622241466,-0.5518943319267755,0.49894761543504484,0.631244408729703,7.4089337010105805,0.192677958286034,0.5531459206787632,0.08295442506047213,0.13972197558845717,2668349.213671713,-0.80453103438358,0.4392419471432934,0.5747053399582727,7.828603471294872,0.2559196959156252,0.39489340761651165,0.06927942965028988,0.24518802342912457,852168.3824534401,-0.2992276996205291,0.6495952132499773,0.8673955295385698,5.638669708441388,0.11294271683151738,37.99929361509729,0.15966206188954501,0.6711680579407111,4818910.102314125,-0.2513851137048168,0.834135354759805,0.952819163595683,45.827897086392156,0.20227131915425317
to_end,2000-10,2000-10-02,,6487,310,25.79,0.08840642149810374,0.17156970445827957,1953528.2859266165,-0.6301883953720475,0.49972722348415477,0.6496842511920102,8.852760478785681,0.2163605096260038,0.07670908852762826,0.0832763919053654,0.17862551198505983,1386709.842039646,-0.551894331926776,0.5114455369380787,0.6463543109447348,7.839000905043521,0.19275250340880065,0.517375577178986,0.08893595365156881,0.1530516157852698,2678310.791695629,-0.7687606908838027,0.46156929544047726,0.6043322578547942,8.96430273469032,0.25491311283971546,0.4002343026488005,0.07081758335587418,0.2500074830046804,848098.5660116158,-0.29922769962053,0.6621416137459122,0.8832134545876386,5.820202977534447,0.11298061090616827,42.7433064334801,0.16564504217919707,0.6910994778452374,4777203.6584777385,-0.25138511370481675,0.8618035980892778,0.9840955554343184,51.70760916817042,0.2015913152424166
to_end,2000-11,2000-11-01,,6465,309,25.71,0.09049346155923677,0.17669366017681787,1982322.17672029,-0.6213936971731138,0.5101464107880015,0.661647390256832,9.230193364714717,0.21522512839936464,0.07325189166762147,0.08376935951668107,0.17934545517014042,1394539.9159521584,-0.5518943319267756,0.5143146405698751,0.6491011099268617,7.875842831187833,0.1924497814325406,0.5071099545381599,0.09277000360175802,0.15901608120249483,2732267.3157226425,-0.7584950682429772,0.4773874883459383,0.623726059448323,9.73747368412816,0.25265202023060795,0.3849006003424034,0.07106841632005345,0.25071712467842455,849525.2803898788,-0.29922769962052975,0.6651706211518881,0.8861364729753702,5.8204089605082805,0.1127853607591424,41.70770132124883,0.1660218952693795,0.6926621773403255,4735650.470047334,-0.2513851137048173,0.8622880886883417,0.9863207714515436,51.44517500537699,0.20193362577301976
to_end,2000-12,2000-12-01,,6444,308,25.62,0.09795306424000216,0.1956938701849975,1983646.7007220713,-0.5950055473070623,0.5430589311018685,0.705958022706044,10.909004133713555,0.2144130805432232,0.062105510268254616,0.08734764493290781,0.18528985055719324,1389521.0661383388,-0.5518943319267757,0.5315992386434081,0.670384519219315,8.511231588061388,0.192363741052439,0.47890057438999833,0.10426559495516474,0.17885802845569462,2744370.6419074046,-0.7302856880948154,0.5206920866362512,0.6848390030163015,12.631414427266725,0.2508535499854767,0.34200698690511677,0.07315398376839499,0.2571968103361539,845334.7464127798,-0.2992276996205307,0.6827315035945245,0.9089737736642223,6.082361372442504,0.11272426935249817,38.549876486365356,0.16637110522341936,0.6941193578790169,4694914.295395093,-0.2513851137048171,0.862699073541368,0.9883957330707623,51.18129091363208,0.20226203905476214
to_end,2001-01,2001-01-02,,6424,307,25.54,0.09992685254491462,0.20539463622449133,1958866.3600947075,-0.5740670358073574,0.5539009292957673,0.7191614904081396,11.335710176350617,0.21287252602741796,0.05881585610114204,0.08785475372081719,0.1860055803350762,1375883.7676986235,-0.551894331926776,0.5346938078969941,0.6731892650626824,8.555946459386256,0.19198917955948194,0.4525946776956724,0.10790468233591799,0.18916047890757218,2708457.763933951,-0.7039797914004892,0.5373231287387534,0.7070753944054686,13.628810440783138,0.2478306764779415,0.3258327868714317,0.07341201688745191,0.25791112273108774,837501.2932748052,-0.29922769962053086,0.6860792340289475,0.9120354359990087,6.0855575145191985,0.11248577151675693,37.31870566272072,0.16672053843706003,0.6955659046682657,4654673.499678514,-0.25138511370481675,0.8631559156101851,0.99045555269393,50.94751610350386,0.20257627952490678
to_end,2001-02,2001-02-01,,6403,306,25.45,0.09709697585284816,0.20214902463930615,2000684.6370988854,-0.5688799094951226,0.5443988942468724,0.7051865625707653,10.533550961878465,0.211239442358578,0.0630452985977783,0.0862939375722489,0.18334954612195764,1388288.947182172,-0.551894331926775,0.5274940666863775,0.663620239658172,8.191749510903188,0.19183073641322615,0.44071003538038156,0.10406846055144303,0.18611236126545927,2792065.8765486823,-0.6920951490851984,0.5277920229538566,0.6925511892785989,12.37296707578778,0.24404965746872914,0.33594832247453266,0.07246369071766967,0.25491703117242687,840813.6942982395,-0.299227699620531,0.6787574673722215,0.9017505493433315,5.915387853670992,0.11237922306347241,38.35657119704334,0.16711375914922133,0.6971758219114115,4615249.437595955,-0.25138511370481686,0.8637403454283893,0.9927480047278063,50.72953827283112,0.20290776526888507
to_end,2001-03,2001-03-01,,6384,305,25.38,0.10613252999361267,0.22937419552434574,2026831.8431835899,-0.5366133707124513,0.584203850147926,0.7578874160870169,12.876015851282757,0.21068888913280814,0.049759829538448264,0.0908697963545253,0.19094526674985976,1393239.0313597792,-0.5518943319267757,0.5495367331587888,0.6906541375211982,9.05553066048323,0.1917644518897771,0.3556668181532809,0.11772122101462967,0.23192234900088995,2854976.69311952,-0.6070519318580979,0.5798629543886267,0.7648399873241415,16.76673800758679,0.2427968693921787,0.2844485931951347,0.07515705650520133,0.2632833353509231,840716.5834249482,-0.2992276996205306,0.7013372350812359,0.9309354133141944,6.2703008308617365,0.11233064900133549,33.77644858469283,0.16748105055307794,0.6986728116430306,4575777.579468746,-0.25138511370481703,0.8643115475837614,0.9948796529038559,50.54318659227962,0.2032090681749527
