Date,TSMOM
1985-01-01,0.0430656840875
1985-02-01,0.0381283572367
1985-03-01,-0.0527186264907
1985-04-01,0.0396339206576
1985-05-01,0.0639184945413
1985-06-01,0.010832082759
1985-07-01,-0.030555858881
1985-08-01,0.0522580255168
1985-09-01,0.0066317821423
1985-10-01,0.00786208076486
1985-11-01,0.0478923203251
1985-12-01,0.0220750039143
1986-01-01,-0.0260395242898
1986-02-01,0.101386689515
1986-03-01,0.0858393274583
1986-04-01,0.00731224760811
1986-05-01,-0.0419919607424
1986-06-01,0.0372896799797
1986-07-01,0.0395022166246
1986-08-01,0.0246058006815
1986-09-01,-0.0405446928047
1986-10-01,-0.0124481539133
1986-11-01,0.0416178981506
1986-12-01,-0.00301359984141
1987-01-01,0.0654878027173
1987-02-01,0.0392469659063
1987-03-01,0.0437458072991
1987-04-01,-0.00774275560985
1987-05-01,0.0172201674595
1987-06-01,-0.000999462307813
1987-07-01,0.0401819773673
1987-08-01,0.0100997020065
1987-09-01,0.0395311389726
1987-10-01,-0.105765616884
1987-11-01,0.0468386635579
1987-12-01,0.0173483783313
1988-01-01,-0.0020282638582
1988-02-01,0.00558745553591
1988-03-01,0.0419786720565
1988-04-01,0.00226017903748
1988-05-01,0.0206220608636
1988-06-01,-0.00413297573447
1988-07-01,-0.018881378756
1988-08-01,0.0140011057967
1988-09-01,0.0212645601596
1988-10-01,0.0057001423919
1988-11-01,0.00147601122372
1988-12-01,0.00467325948042
1989-01-01,0.0628893470999
1989-02-01,-0.0500445089519
1989-03-01,0.0595052620386
1989-04-01,0.00976486754166
1989-05-01,0.0227575393477
1989-06-01,-0.00173874193148
1989-07-01,0.0416078850486
1989-08-01,0.0331340261664
1989-09-01,0.0116498966284
1989-10-01,-0.0222559249675
1989-11-01,0.0225906230239
1989-12-01,0.0591966696596
1990-01-01,-0.00625464512981
1990-02-01,0.00861139199032
1990-03-01,0.0488367204336
1990-04-01,-0.0159391263752
1990-05-01,-0.0488431629701
1990-06-01,0.00998235305628
1990-07-01,0.0338611954536
1990-08-01,0.109783386143
1990-09-01,0.0506438422419
