date,signal,held_proxy,next_day_ret,delay_cost_bps,stress_2x_bps,stress_5x_bps
2007-01-05,IAU,GLD,0.005152092117745921,-51.520921177459215,-103.04184235491843,-257.6046058872961
2007-11-09,IVV,SSO,-0.017024734165151267,170.24734165151267,340.49468330302534,851.2367082575634
2009-01-12,IAU,GLD,0.0014858236009589465,-14.858236009589465,-29.71647201917893,-74.29118004794732
2011-08-05,QQQ,QLD,-0.11709047995087829,1170.9047995087828,2341.8095990175657,5854.523997543914
2011-11-18,QQQ,QLD,-0.037877127418175616,378.77127418175616,757.5425483635123,1893.8563709087807
2011-12-15,IAU,GLD,0.019037575406193996,-190.37575406193997,-380.75150812387994,-951.8787703096998
2012-12-20,IAU,GLD,0.003756377133691924,-37.56377133691924,-75.12754267383848,-187.8188566845962
2012-12-28,QQQ,QLD,0.04043304656941449,-404.3304656941449,-808.6609313882898,-2021.6523284707246
2014-07-31,IAU,GLD,0.008023323354133804,-80.23323354133805,-160.4664670826761,-401.16616770669026
2014-10-16,IVV,SSO,0.0243994616246761,-243.99461624676098,-487.98923249352197,-1219.9730812338048
2015-02-11,IAU,GLD,0.0023062837940568404,-23.062837940568404,-46.12567588113681,-115.31418970284201
2015-08-21,QQQ,QLD,-0.07531565848003419,753.1565848003419,1506.3131696006838,3765.7829240017095
2015-08-21,IVV,SSO,-0.08271305167107879,827.1305167107879,1654.2610334215758,4135.65258355394
2015-11-13,IVV,SSO,0.03020511865965969,-302.0511865965969,-604.1023731931938,-1510.2559329829844
2015-12-11,IVV,SSO,0.01126173323666868,-112.61733236668681,-225.23466473337362,-563.086661833434
2016-01-07,QQQ,QLD,-0.0174494807052491,174.49480705249098,348.98961410498197,872.4740352624549
2016-04-28,QQQ,QLD,-0.011326033057116325,113.26033057116325,226.5206611423265,566.3016528558162
2016-06-24,QQQ,QLD,-0.03861069583965193,386.1069583965193,772.2139167930386,1930.5347919825965
2016-06-27,IVV,SSO,0.03586262819054031,-358.6262819054031,-717.2525638108062,-1793.1314095270156
2018-05-15,IAU,GLD,-0.0015512935679184991,15.512935679184991,31.025871358369983,77.56467839592496
2018-10-24,QQQ,QLD,0.06751946448060853,-675.1946448060853,-1350.3892896121706,-3375.9732240304265
2018-10-24,IVV,SSO,0.03541338102238223,-354.1338102238223,-708.2676204476446,-1770.6690511191116
2020-02-27,IVV,SSO,-0.004000795519603861,40.007955196038615,80.01591039207723,200.03977598019307
2021-06-17,IAU,GLD,-0.005547261946798776,55.47261946798776,110.94523893597552,277.3630973399388
2022-01-06,IAU,GLD,0.004551137683908024,-45.51137683908024,-91.02275367816048,-227.5568841954012
2022-01-21,QQQ,QLD,0.012138776004985585,-121.38776004985586,-242.7755200997117,-606.9388002492793
2022-04-12,IVV,SSO,0.023187998965336076,-231.87998965336075,-463.7599793067215,-1159.3999482668037
2022-05-10,IAU,GLD,0.008167128516088473,-81.67128516088474,-163.34257032176947,-408.3564258044237
2025-03-11,IVV,SSO,0.010005013103585814,-100.05013103585813,-200.10026207171626,-500.2506551792907
2026-03-27,IVV,SSO,-0.006480387581700553,64.80387581700553,129.60775163401107,324.01937908502765
