date,signal,similar_avg_fwd,dissimilar_avg_fwd,spread,spy_fwd_1m,n_similar,n_dissimilar,min_distance,closest_date,anti_signal,anti_ret,spread_ret
1985-01-01,1,0.009842131425927804,-0.003584193705974716,0.01342632513190252,0.05668513400588426,22,22,1.1772726512473408,1972-05-01,1,0.05668513400588426,0.01342632513190252
1985-02-01,1,0.0109906030127864,-0.011221163259859425,0.022211766272645823,-0.0077249858748073,22,22,1.0254598079054225,1972-06-01,1,-0.0077249858748073,0.022211766272645823
1985-03-01,1,0.011326630500036967,-0.011505818318627853,0.02283244881866482,0.007106890982974123,23,23,1.025428673102126,1972-08-01,1,0.007106890982974123,0.02283244881866482
1985-04-01,1,0.010819642038671907,-0.011505818318627853,0.022325460357299758,0.022380110684872223,23,23,0.7727490347822904,1972-08-01,1,0.022380110684872223,0.022325460357299758
1985-05-01,1,0.011093901279889217,-0.011505818318627853,0.02259971959851707,0.023692684013242093,23,23,1.3179387748411766,1972-08-01,1,0.023692684013242093,0.02259971959851707
1985-06-01,1,0.010018916520872983,-0.01693678355448918,0.026955700075362164,0.019219955049881943,23,23,1.6259995570814028,1972-08-01,1,0.019219955049881943,0.026955700075362164
1985-07-01,1,0.012424722738186535,-0.01693678355448918,0.029361506292675716,-0.022897828975395385,23,23,1.6387116352186342,1972-08-01,1,-0.022897828975395385,0.029361506292675716
1985-08-01,1,0.00690098142517838,-0.01453882336465861,0.02143980478983699,-0.022631864932689538,23,23,1.2333058848438898,1972-08-01,1,-0.022631864932689538,0.02143980478983699
1985-09-01,1,0.00904069688303745,-0.01453882336465861,0.023579520247696058,0.008941678773907391,23,23,0.9254614982680218,1972-08-01,1,0.008941678773907391,0.023579520247696058
1985-10-01,1,0.012357710335107144,-0.0015165366525785272,0.013874246987685671,0.05913452106153949,24,24,1.3179528952715296,1971-12-01,1,0.05913452106153949,0.013874246987685671
1985-11-01,1,0.00954358502206292,0.004569028832560533,0.004974556189502387,0.047341169463554156,24,24,2.0457732766804573,1980-10-01,-1,-0.047341169463554156,0.004974556189502387
1985-12-01,1,0.008731314370769516,0.0075181041193011595,0.0012132102514683567,0.00693750994336928,24,24,1.8700246506987934,1980-11-01,-1,-0.00693750994336928,0.0012132102514683567
1986-01-01,1,0.002921614190418383,0.009916727832974486,-0.006995113642556103,0.05219810234559508,24,24,1.5653040614112694,1972-11-01,-1,-0.05219810234559508,-0.006995113642556103
1986-02-01,1,0.0064306450902545985,-0.0023991910185805023,0.008829836108835101,0.059640575079872304,24,24,2.340900198776788,1972-11-01,1,0.059640575079872304,0.008829836108835101
1986-03-01,1,0.005606233920851171,-0.002392365256628226,0.007998599177479398,0.024670038517491166,24,24,3.016060479832219,1983-01-01,1,0.024670038517491166,0.007998599177479398
1986-04-01,1,0.00907137415599447,-0.005456186355062562,0.014527560511057032,0.000684125852674633,25,25,3.080747941360138,1983-01-01,1,0.000684125852674633,0.014527560511057032
1986-05-01,1,0.00990555675890874,-0.005456186355062562,0.015361743113971302,0.025115982971766426,25,25,2.306219748007852,1983-05-01,1,0.025115982971766426,0.015361743113971302
1986-06-01,1,0.007058808985325444,-0.005456186355062562,0.012514995340388007,-0.017732584197146628,25,25,2.2192678912373474,1983-05-01,1,-0.017732584197146628,0.012514995340388007
1986-07-01,1,0.009349658485368187,-0.005456186355062562,0.014805844840430748,0.01877910622755552,25,25,2.695778966838496,1982-12-01,1,0.01877910622755552,0.014805844840430748
1986-08-01,1,0.012533962986335143,-0.004088347013617813,0.016622309999952956,-0.027335201255473063,25,25,1.9146881505195301,1983-05-01,1,-0.027335201255473063,0.016622309999952956
1986-09-01,1,0.01221940016727508,-0.010180683475538426,0.022400083642813505,-0.0023560718579813678,25,25,2.416564509902317,1982-12-01,1,-0.0023560718579813678,0.022400083642813505
