date,state,label,confidence,direction,spy_1m,spy_3m
2008-10-01,2,transition,1.0,neutral,-0.25004340713573436,-0.2332413114138474
2008-11-01,2,transition,1.0,neutral,-0.08117274808673602,-0.09307919743654836
2008-12-01,2,transition,1.0,neutral,0.06398109455744172,0.026411465308853632
2009-01-01,2,transition,1.0,neutral,-0.07269431842880458,-0.1568034572217366
2009-02-01,3,exhaustion_top,1.0,bearish,-0.07195469159751466,0.025638978093520226
2009-03-01,1,strong_bull,1.0,bullish,0.1096031381930187,0.2080979107641978
2009-04-01,0,transition,1.0,neutral,0.06908534353735929,0.17295864956817586
2009-05-01,0,transition,1.0,neutral,0.03879858588944329,0.030935907734896295
2009-06-01,1,strong_bull,1.0,bullish,-0.02289639043943059,0.07780628012844759
2009-07-01,1,strong_bull,1.0,bullish,0.06205952442443441,0.13473380390280898
2009-08-01,0,transition,1.0,neutral,0.04412525535943379,0.11153368273936493
2009-09-01,0,transition,1.0,neutral,0.047380404075002325,0.09330631659909061
2009-10-01,3,exhaustion_top,1.0,bearish,0.03826335939611725,0.07905222197387873
2009-11-01,0,transition,1.0,neutral,0.0755116271334626,0.11275674408585812
2009-12-01,0,transition,1.0,neutral,0.01604243202130995,-0.02325112290392417
2010-01-01,0,transition,1.0,neutral,-0.019113780686714876,0.036072942292112886
2010-02-01,1,strong_bull,1.0,bullish,0.014762616443203758,0.11579915788312367
2010-03-01,1,strong_bull,1.0,bullish,0.04683516860658865,0.040912196407121515
2010-04-01,2,transition,1.0,neutral,0.030135987751438886,-0.07037345232480685
2010-05-01,2,transition,1.0,neutral,-0.09797156269775908,-0.07270686686078887
2010-06-01,2,transition,1.0,neutral,0.007934711380433557,0.0150359196765939
2010-07-01,2,transition,1.0,neutral,0.08563622717608643,0.08485776340819018
2010-08-01,2,transition,1.0,neutral,-0.03926747469944403,0.07509973620898935
2010-09-01,1,strong_bull,1.0,bullish,0.06430654892418008,0.1141756159144316
2010-10-01,2,transition,1.0,neutral,0.03586083116620653,0.08681579375783288
2010-11-01,0,transition,1.0,neutral,0.014089200448052175,0.08871251661600343
2010-12-01,2,transition,1.0,neutral,0.04338935233318808,0.10577667638508181
2011-01-01,1,strong_bull,1.0,bullish,0.031172989426598408,0.003419599490145586
2011-02-01,0,transition,1.0,neutral,0.012161648126825853,0.014330759410005944
2011-03-01,0,transition,1.0,neutral,0.0071827063893854515,0.03617810973226154
2011-04-01,2,transition,1.0,neutral,0.012316948350358015,-0.040931136677393454
2011-05-01,3,exhaustion_top,1.0,bearish,-0.029612309388210356,-0.028852701272431225
2011-06-01,1,strong_bull,1.0,bullish,-0.03360370563304271,-0.09982847115983084
2011-07-01,0,transition,1.0,neutral,-0.004405462993104625,-0.12880804060252726
2011-08-01,1,strong_bull,1.0,bullish,-0.09706494138776711,-0.059376833988478483
2011-09-01,2,transition,1.0,neutral,-0.03388975715330955,0.042740892993093915
2011-10-01,1,strong_bull,1.0,bullish,0.09854159608606627,0.07591674780622637
2011-11-01,2,transition,1.0,neutral,-0.04639350965615108,0.06276342642053234
2011-12-01,3,exhaustion_top,1.0,bearish,0.01858200093008988,0.08864012524033105
2012-01-01,2,transition,1.0,neutral,0.05083665148348593,0.12127501256159623
2012-02-01,2,transition,1.0,neutral,0.03366803554448761,0.03979012840438734
2012-03-01,1,strong_bull,1.0,bullish,0.032676868345826504,-0.011077357739685323
2012-04-01,2,transition,1.0,neutral,-0.01150479987090458,-0.0620699040718391
2012-05-01,0,transition,1.0,neutral,-0.06138977018245806,-0.046455964150716844
2012-06-01,1,strong_bull,1.0,bullish,0.03514221674215623,0.10408390892795882
2012-07-01,0,transition,1.0,neutral,-0.015723680214834834,0.060911011965268935
2012-08-01,0,transition,1.0,neutral,0.02849107834574105,0.044064512630692665
2012-09-01,1,strong_bull,1.0,bullish,0.020508092988386073,-0.018662846412432543
2012-10-01,2,transition,1.0,neutral,-0.020228513835097717,-0.011915194259356388
2012-11-01,2,transition,1.0,neutral,-0.012462383129264176,0.03698858284900419
2012-12-01,0,transition,1.0,neutral,0.0029120679708367625,0.07893092516389255
2013-01-01,3,exhaustion_top,1.0,bearish,0.05505203851730389,0.09910121894665513
2013-02-01,2,transition,1.0,neutral,-0.008066759740520957,0.030215992799923264
2013-03-01,1,strong_bull,1.0,bullish,0.031389776891182386,0.07992524611694196
2013-04-01,2,transition,1.0,neutral,0.015827967059889314,0.052290606823203856
2013-05-01,1,strong_bull,1.0,bullish,0.04441437650790481,0.06391409434223938
2013-06-01,1,strong_bull,1.0,bullish,-0.015066845469113632,0.04317803606181392
2013-07-01,1,strong_bull,1.0,bullish,0.0469135302939967,0.04982643154717348
2013-08-01,0,transition,1.0,neutral,-0.02730632542675382,0.0025191740596692824
2013-09-01,2,transition,1.0,neutral,0.03797129088495099,0.0953223709908324
2013-10-01,1,strong_bull,1.0,bullish,0.039033975742654325,0.05190759219026031
2013-11-01,1,strong_bull,1.0,bullish,0.02536777915072075,0.03669741782849956
